 
       w [eV]        Osc. strength         Transition      Weight      KS [eV]      D<S*S>
 
 ==========================================================================================
 
      3.380          0.0001477           274   -> 283       1.000       3.379       1.103
      3.385          0.0000019           187   -> 279       1.000       3.385       0.999
      3.389          0.0001642           274   -> 283       1.000       3.389       0.892
      3.395          0.0001107           278   -> 328       1.000       3.395       0.004
      3.399          0.0001735           268   -> 280       0.948       3.399       1.513
      3.399          0.0000573           277   -> 291       0.756       3.400       1.749
      3.400          0.0000102           186   -> 279       0.867       3.400       0.967
      3.400          0.0000089           219   -> 279       0.891       3.400       0.971
      3.400          0.0000586           199   -> 278       0.998       3.400       0.067
      3.402          0.0000002           218   -> 279       1.000       3.402       0.998
      3.403          0.0000021           275   -> 286       0.874       3.403       1.957
      3.404          0.0013983           277   -> 291       0.796       3.401       0.063
      3.404          0.0001030           275   -> 286       0.875       3.404       0.043
      3.409          0.0001417           278   -> 329       0.999       3.408       0.044
      3.409          0.0003062           268   -> 280       0.976       3.408       0.770
      3.410          0.0003892           271   -> 281       0.947       3.410       1.597
      3.413          0.0000194           273   -> 282       0.994       3.413       1.565
      3.415          0.0001516           273   -> 282       0.959       3.415       0.466
      3.415          0.0006827           271   -> 281       0.916       3.414       0.258
      3.417          0.0000750           267   -> 280       1.000       3.417       1.052
      3.419          0.0000555           217   -> 279       0.931       3.419       0.985
      3.420          0.0000438           185   -> 279       0.941       3.420       0.978
      3.420          0.0000162           278   -> 330       1.000       3.420       0.033
      3.422          0.0000555           274   -> 284       0.982       3.422       1.718
      3.426          0.0000119           216   -> 279       0.995       3.426       1.023
      3.426          0.0000224           272   -> 282       0.998       3.426       1.213
      3.426          0.0000328           273   -> 283       0.994       3.426       1.143
      3.427          0.0000072           277   -> 292       0.864       3.427       1.919
      3.427          0.0000274           270   -> 281       0.912       3.427       1.117
      3.428          0.0000507           272   -> 282       0.989       3.428       0.852
      3.428          0.0000084           274   -> 284       0.656       3.426       0.921
      3.428          0.0000576           267   -> 280       0.973       3.428       0.795
      3.429          0.0001001           277   -> 292       0.867       3.428       0.062
      3.430          0.0000113           276   -> 287       0.855       3.430       1.953
      3.432          0.0003978           276   -> 287       0.830       3.431       0.142
      3.432          0.0000598           198   -> 278       1.000       3.432       0.010
      3.432          0.0000694           270   -> 281       0.969       3.431       0.318
      3.436          0.0000749           273   -> 283       0.978       3.435       0.890
      3.436          0.0000714           274   -> 285       0.930       3.436       1.629
      3.439          0.0000440           272   -> 283       1.000       3.438       1.099
      3.440          0.0005230           274   -> 285       0.977       3.439       0.214
      3.445          0.0000279           269   -> 281       1.000       3.445       1.271
      3.445          0.0000092           276   -> 288       0.986       3.445       1.690
      3.446          0.0000630           276   -> 288       0.985       3.446       0.312
      3.448          0.0000237           272   -> 283       1.000       3.448       0.899
